"Temporada","Jugador","Salario","Salario Actual Ajustado a la Inflación"
"2018/19 ","Isaiah Briscoe","838.46","1,045,380"
"2018/19 ","Hamidou Diallo","838.46","1,045,380"
"2018/19 ","Kenrich Williams","838.46","1,045,380"
"2018/19 ","Keita Bates-Diop","838.46","1,045,380"
"2018/19 ","Jevon Carter","838.46","1,045,380"
"2018/19 ","Alize Johnson","838.46","1,045,380"
"2018/19 ","Isaiah Hartenstein","838.46","1,045,380"
"2018/19 ","Khyri Thomas","838.46","1,045,380"
"2018/19 ","Bruce Brown","838.46","1,045,380"
"2018/19 ","Jarred Vanderbilt","838.46","1,045,380"
"2018/19 ","Ryan Broekhoff","838.46","1,045,380"
"2018/19 ","Brad Wanamaker","838.46","1,045,380"
"2018/19 ","Lorenzo Brown","800","997.42"
"2018/19 ","Davon Reed","752.25","937.89"
"2018/19 ","Isaiah Canaan","744.67","928.44"
